Year,Année,ISO,Jurisdiction,Juridiction,Management,Aménagement,Harvesting method,Méthode de récolte,Tenure (En),Tenure (Fr),Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1975,1975,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1975,1975,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1975,1975,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Clearcut - 1-stage and 2-stage,Coupe à blanc - 1-étape et 2-étape,Provincial land,Terres provinciales,21595,a,21595,a
1975,1975,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Seed tree,Avec réserve de semenciers,Provincial land,Terres provinciales,0,a,0,a
1975,1975,AB,Alberta,Alberta,Even-aged management,Aménagement équienne,Shelterwood,Progressive,Provincial land,Terres provinciales,87,a,87,a
1975,1975,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Provincial land,Terres provinciales,0,a,0,a
1975,1975,AB,Alberta,Alberta,Uneven-aged management,Aménagement inéquienne,Commercial thinning,Éclaircie commerciale,Provincial land,Terres provinciales,0,a,0,a
1975,1975,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1975,1975,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1975,1975,BC,British Columbia,Colombie-Britannique,Uneven-aged management,Aménagement inéquienne,Selection,Coupe de jardinage,Unspecified,Indéterminée,23699,E,23699,E
1975,1975,BC,British Columbia,Colombie-Britannique,Even-aged management,Aménagement équienne,Unspecified,Indéterminée,Unspecified,Indéterminée,133277,a,133277,a
1975,1975,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
1975,1975,MB,Manitoba,Manitoba,Even-aged management,Aménagement équienne,Other,Autre,Provincial land,Terres provinciales,0,E,0,E
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Even-aged management,Aménagement équienne,Other,Autre,Private land,Terres privées,0,E,0,E
