Year,Année,ISO,Jurisdiction,Juridiction,Tenure (En),Tenure (Fr),Application Method,"Méthode d'application",Area (hectares),Data qualifier,Superficie (en hectare),Qualificatifs de données
1975,1975,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,4063,a,4063,a
1975,1975,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,6172,a,6172,a
1975,1975,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,223,a,223,a
1975,1975,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,125,a,125,a
1975,1975,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,23510,a,23510,a
1975,1975,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,3013,a,3013,a
1976,1976,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,5197,a,5197,a
1976,1976,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,3007,a,3007,a
1976,1976,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,199,a,199,a
1976,1976,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,550,a,550,a
1976,1976,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,10,a,10,a
1976,1976,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,27039,a,27039,a
1976,1976,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,1833,a,1833,a
1977,1977,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,5224,a,5224,a
1977,1977,AB,Alberta,Alberta,Provincial land,Terres provinciales,Ground,Sol,4739,a,4739,a
1977,1977,MB,Manitoba,Manitoba,Unspecified,Indéterminée,Unspecified,Indéterminée,61,a,61,a
1977,1977,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,Unspecified,Indéterminée,393,a,393,a
1977,1977,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Unspecified,Indéterminée,1,a,1,a
1977,1977,ON,Ontario,Ontario,Unspecified,Indéterminée,Unspecified,Indéterminée,28791,a,28791,a
1977,1977,QC,Quebec,Québec,Provincial land,Terres provinciales,Unspecified,Indéterminée,3375,a,3375,a
1978,1978,AB,Alberta,Alberta,Provincial land,Terres provinciales,Aerial,Aérien,4488,a,4488,a
